state_en,name_en,state_ar,name_ar
Tulkarm,Deir al-Ghusun,طولكرم,دير الغصون
Tulkarm,"Al Masqufa
",طولكرم,المسقوفة
Tulkarm,"Al-Jarushiya
",طولكرم,الجاروشية
Tulkarm,Illar,طولكرم,علار
Tulkarm,Qaffin,طولكرم,قفين
Tulkarm,Saida,طولكرم,صيدا
Tulkarm,Attil,طولكرم,عتيل
Tulkarm,Zeita,طولكرم,زيتا
Tulkarm,"Baqa ash-Sharqiyya
",طولكرم,باقة الشرقية
Tulkarm,"An-Nazla al-Gharbiya
",طولكرم,النزلة الغربية
Tulkarm,"An-Nazla ash-Sharqiya
",طولكرم,النزلة الشرقية
Tulkarm,"An-Nazla al-Wusta
",طولكرم,النزلة الوسطى
Tulkarm,Nazlat Abu Nar,طولكرم,نزلة أبو نار
Tulkarm,Nazlat 'Isa,طولكرم,نزلة عيسى
Tulkarm,Al-Aqaba,طولكرم,عكابا
Tulkarm,"Kafr Zibad
",طولكرم,كفر زيباد
Tulkarm,"Kafr Sur
",طولكرم,كفر صور
Tulkarm,"Kafr Abbush
",طولكرم,كفر عبوش
Tulkarm,Kafr Jammal,طولكرم,كفر جمال
Tulkarm,Kur,طولكرم,كور
Tulkarm,Al-Ras,طولكرم,الراس
Tulkarm,Jubara,طولكرم,جبارة
Tulkarm,"Qaqun
",طولكرم,قاقون
Tulkarm,Izbet Shufa ,طولكرم,عزبة الخلال
Tulkarm,al-azab,طولكرم,العزب
Tulkarm,Al-Rashed,طولكرم, الرشيد
Tulkarm,Shweika,طولكرم, شويكة
Tulkarm,Thannabah,طولكرم, ذنابة
Tulkarm,Irtah,طولكرم, ارتاح
Tulkarm,Iktaba,طولكرم, اكتابا
Tulkarm,Kafa,طولكرم, كفا
Tulkarm,Tulkarm Camp,طولكرم,مخيم طولكرم
Tulkarm,Nur Shams Camp,طولكرم,مخيم نور شمس
Nablus,Nablus,نابلس,نابلس
Nablus,Qabalan,نابلس,قبلان
Nablus,"Beit Iba
",نابلس,بيت ايبا
Nablus,Aqraba,نابلس,عقربا
Nablus,"Beit Furik
",نابلس,بيت فوريك
Nablus,Beit Dajan,نابلس,بيت دجن
