title_ar,title_en,content-en,content-ar,post_meta:job-title-en,post_meta:job-title-ar,post_meta:cv-en,post_meta:cv-ar,img
د. عفيف عقل,Dr. Afif Aqel,.,.,BOD Member,عضو,,"  
",https://palgbc.org/img/board/afif-hasan.jpeg
م. ياسر أبو شنب,Yasser Abu Shanab,,,Vice Chairman,نائب رئيس مجلس الإدارة,"
"," 
",https://palgbc.org/img/board/YasserAbushanab.jpg
السيد. محمود التكروري,Mr. Mahmoud Takruri,Management Consultant,مستشار اداري,Treasurer,أمين الصندوق,Management Consultant Management ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement ConsultantManagement Consultant,"مستشار اداري
",https://palgbc.org/img/board/Mahmoud-Takrouri.jpeg
السيد. نائل سعادة,Mr. Nael Saada,Owner of mechanical and electrical consulting office.,مالك مكتب الاستشارات الميكانيكية والكهربائية.,Secretary,أمين السر,"Owner of mechanical and electrical consulting office. Owner of mechanical and electrical consulting office.


","مالك مكتب الاستشارات الميكانيكية والكهربائية.مالك مكتب الاستشارات الميكانيكية والكهربائية.

",https://palgbc.org/img/board/nael-sada.jpeg
م. دانا الفار,Dana Far,,,"BOD Member
",عضو,,,https://palgbc.org/img/board/dana-alfar.jpeg
م. منصور منصور,Mansour Mansour,,,"BOD Member
",عضو,,,https://palgbc.org/img/board/mansur.jpg
"م. آلاء فليفل
",Alaa Fleifel,,,"BOD Member
",عضو,,,https://palgbc.org/img/board/AlaaFleifel.jpg
م. سري سعادة,Eng. Sari Saadeh,.,.,Chairman,رئيس مجلس الإدارة,.,.,https://www.palgbc.org/panel/img/CouiDrectors/Eng. Sari Saadeh 2024-04-25.jpg
المتحف الفلسطيني,The Palestine Museum,.,ممثلاً بالمهندس بشار عمار,BOD Member,عضو,.,.,https://www.palgbc.org/panel/img/CouiDrectors/The Palestine Museum 2024-04-25.jpg
