title,content,publish_date,panel,post_meta:location,post_meta:link,img
اتفاقية تفاهم بلدية الخليل,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية الخليل  - Hebron Municipality. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد تيسير أبو اسنينة رئيس بلدية الخليل و م. وجدان الشريف المديرة التنفيذية للمجلس بحضور كل من الطاقم الهندسي للبلدية وطاقم المجلس.
",2021-10-01,2,الخليل - رام الله,,https://www.palgbc.org/img/news/news29.jpg
 توقيع اتفاقية تفاهم مع بلدية خان يونس,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية خانيونس يوم الثلاثاء الموافق 3 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد علاء الدين البطة رئيس بلدية خانيونس بحضور م. حنين داود منسقة المشروع و عماد الأغا مدير العلاقات العامة للبلدية والطاقم الهندسي للبلدية.
",2021-08-03,2,رام الله - خانيونس,,https://www.palgbc.org/img/news/news23.jpg
عقد دورة تقييم الأثر البيئي ,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان تقييم الأثر البيئي Environmental Impact Assessment (EIA) بالتعاون مع سلطة جودة البيئة الفلسطينية عقدت يوم الأربعاء الموافق 23 حزيران 2021 بمشاركة عدد من المتدربات/ين من مؤسسات عامة وخاصة وبلديات.
يذكر أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.
",2021-06-02,2,رام الله,,https://www.palgbc.org/img/news/news17.jpg
عقد دورة تدريبية بعنوان فحص الجهوزية الكهربائية ,"للمرة الأولى في فلسطين، عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""فحص الجهوزية الكهربائية للأنظمة والأجهزة الكهربائية - Commissioning""، يدربها طاقم شركة ألبن لاستشارات الاستدامة  والحلول المتكاملة في دولة الإمارات العربية المتحدة.
عقد التدريب على مدار 4 أيام تدريبية عبر المنصة الإلكترونية زوم (ZOOM).
هدف التدريب إلى تأهيل طواقم العمل في قطاع البناء إلى تطوير الخدمات المقدمة من خلال تحسين أداء الأنظمة والأجهزة الكهربائية وتقليل الحاجة لصيانتها.
يأتي هذا التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.
",2021-07-01,2,فلسطين - الإمارات العربية المتحدة,,https://www.palgbc.org/img/news/news19.jpg
توقيع اتفاقية تفاهم مع مؤسسة المواصفات والمقاييس الفلسطينية,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع مؤسسة المواصفات والمقاييس الفلسطينية يوم الثلاثاء الموافق 17 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء. وتعنى الاتفاقية بنشر ثقافة الأبنية الخضراء في المجتمع الفلسطيني، وضبط المعايير الفنية المتبعة في السوق الفلسطيني بما يتوافق مع الأنظمة البيئية والصحية.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد حيدر حجة مدير مؤسسة المواصفات الفلسطينية.
",2021-08-17,2,رام الله,,https://www.palgbc.org/img/news/news27.jpg
عقد تدريب نمذجة وتحليل أعمال الطاقة ,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""نمذجة وتحليل أعمال الطاقة"" موزعة على 5 لقاءات خلال شهر حزيران 2021. تناول التدريب محاور نظرية وعملية حول إدارة الطاقة ومعايير المباني وإعداد تقارير نمذجة الطاقة. شارك في التدريب متدربات/ين متخصصين في مجال الطاقة من مؤسسات عامة وبلديات والقطاع الخاص.
جاء التدريب ضمن مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي. 
",2021-06-01,2,رام الله ,,https://www.palgbc.org/img/news/news15.jpg
عقد دورة معايير نظم الإدارة البيئية ISO 14001,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""نظم الإدارة البيئية ISO 14001"" بالتعاون مع مؤسسة المواصفات والمقاييس الفلسطينية م وذلك خلال الأيام 16 و17 آب 2021.
تناول التدريب التعريف بمبادئ نظم الإدارة البيئية، ومتطلباتها حسب نسختها الأخيرة في العام 2015، وكيفية ربطها مع سياق عمل المؤسسة/المصنع/الشركة، بناء السياسات البيئية والتخطيط لها، تطبيقها خلال المرحلة التشغيلية للمؤسسة وتقييم الأداء والتطوير.
يُعقد التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي. 
",2021-08-16,2,رام الله,,https://www.palgbc.org/img/news/news266.jpg
عقد الدورة التحضيرية للمستوى الثاني من الريادة في تصميمات الطاقة والبيئة: الأبنية قيد الانشاء ,"عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة للأبنية قيد الإنشاء LEED BD+C بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 8 و 10 و12 آب 2021.
",2021-08-12,2,فلسطين – قطر,,https://www.palgbc.org/img/news/news21.jpg
اتفاقية تفاهم بلدية عصيرة الشمالية,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية عصيرة الشمالية. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية م. حازم ياسين رئيس بلدية عصيرة الشمالية و م. وجدان الشريف المديرة التنفيذية للمجلس.

",2021-10-01,2,"عصيرة الشمالية- رام الله 
",,https://www.palgbc.org/img/news/news36.jpg
اتفاقية تفاهم بلدية رام الله ,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية رام الله. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية م. موسى حديد رئيس بلدية رام الله و د. عفيف عقل رئيس المجلس الفلسطيني للأبنية الخضراء.
",2021-12-06,2,رام الله ,,https://www.palgbc.org/img/news/news37.jpg
اتفاقية تفاهم بلدية بيرزيت,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية بيرزيت. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد ابراهيم سعد رئيس بلدية بيرزيت و م. وجدان الشريف المديرة التنفيذية للمجلس بحضور كل من الطاقم الهندسي للبلدية وطاقم المجلس

",2021-10-07,2,بيرزيت- رام الله ,,https://www.palgbc.org/img/news/news35.jpg
عقد دورة خبير في نظام الأبنية الخضراء,"عقد المجلس الفلسطيني للأبنية الخضراء دورة خبير في نظام الأبنية الخضراء (Excellence in Design for Greater Efficiencies - EDGE) مع الخبيرة والمدربة والمقيّمة الأردنية م. ميسون خريسات خلال الأسبوع الأول من شهر أيلول 2021 عبر المنصة الإلكترونية زوم (ZOOM).
تناول التدريب التعريف بنظام البنك الدولي للأبنية الخضراء والمعايير البيئية المتخذة والتطبيق العملي على برنامج/تطبيق إيدج، بالإضافة لنصائح تحضيرية للامتحان الدولي الخاص بالنظام. 
يُعقد التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.
",2022-09-01,2,فلسطين- الأردن,,https://www.palgbc.org/img/news/news11.png
"عقد محاضرة بعنوان ""دراسة تأهيل مبنى قائم بهدف تخفيض استهلاك الطاقة""","عمل المجلس الفلسطيني للأبنية الخضراء على عقد محاضرة بعنوان ""دراسة تأهيل مبنى قائم بهدف تخفيض استهلاك الطاقة"" والتي قام بتقديمها الدكتور محمد السيد وهو خبير في مجال كفاءة الطاقة، تُعرض الدراسة كحالة تجريبية عن المبنى القائم الذي تم اعادة تأهيله ليصبح مقر ومكتب للمجلس بتنفيذ من مكتب حسن بكير الهندسي.
 
<a href=""https://www.youtube.com/watch?v=KhZr9NNa-QQ"">لمشاهدة المحاضرة</a> ",2022-12-06,2,رام الله,https://www.youtube.com/watch?v=KhZr9NNa-QQ,https://palgbc.org/img/news/News44333334.jpg
 عقد محاضرة بعنوان الأبنية الذكية وأنظمة التحكم بها,"محاضرة عن الأبنية الذكية وأنظمة التحكم بها (Smart buildings & BMS) التي قدمها المهندس سري سعادة بتنظيم من المجلس الفلسطيني للأبنية الخضراء عبر منصة الزووم ضمن سلسلة لقاءات خضراء (Green Talks).<br>
وقام المهندس سري بتوضيح هذه الأنظمة وآلية عملها لتسهيل التحكم في المباني مثل البنوك والمستشفيات، والمطارات، والمباني الضخمة، والمباني الحكومية، والمتاجر الكبرى، وحتى المنازل. <br>
<a href="" https://youtu.be/893HA3V38QEv=KhZr9NNa-QQ"">لمشاهدة المحاضرة</a>",2023-04-30,1,منصة Zoom, https://youtu.be/893HA3V38QE,https://www.palgbc.org/panel/img/couNews/344419951_892054171892029_8435259809089718114_n (1).jpg
الفوز في مسابقة حوض البحر المتوسط للتكيف مع التغير المناخي ,"يسر المجلس الفلسطيني للأبنية الخضراء أن يزف لكم خبر فوزه في مسابقة حوض البحر المتوسط للتكيف مع التغير المناخي  2023(Mediterranean climate change adaption awards) ، والتي تم تنظيمها من خلال مشروع MeetMED على مستوى الدول المحيطة بالبحر المتوسط وهي : ألبانيا، البوسنة والهرسك، قبرص، مصر، فرنسا، اليونان، إيطاليا، الأردن، لبنان، ليبيا، مقدونيا، مالطا، الجبل الأسود، المغرب، فلسطين، البرتغال، سلوفانيا، إسبانيا، سوريا، تونس، وتركيا، وحيث شارك المجلس في المسابقة وحقق الفوز بالمستوى الأول عن فئة المباني والممثلة بمشروع ""تحسين كفاءة الطاقة في مخيم قدورة"" والذي تم إنجازه وتنفيذه بالتعاون مع (United Nations Development  Programme -UNDP Palestinian) وسلطة الطاقة الفلسطينية وبتمويل من الحكومة اليابانية لمساعدة سكان المخيم في توفير الطاقة، والتأقلم المناخي، وحماية بيئة المنزل الداخلية من التغيرات المناخية وتقلبات الطقس من خلال تطبيق التعديلات التحديثية والاعتبارات البيئية (retrofits) بهدف توفير استهلاك الطاقة في المنازل، كل منزل حسب حالته وظروفه.
وقد مثلت المهندسة وجدان الشريف- المديرة التنفيذية للمجلس الفلسطيني للأبنية الخضراء- المجلس في حفل التكريم الذي تم عقده في المغرب، يوم الثلاثاء التاسع من أيار 2023.
نفرح بهذا الإنجاز ونود أن نشكر الشركاء والداعمين ونخص بالذكر برنامج الأمم المتحدة الإنمائي UNDP، حكومة اليابان، سلطة الطاقة الفلسطينية PENRA، اللجنة الشعبية لمخيم قدورة، شركة كهرباء القدس، وطاقم المجلس الفلسطيني للأبنية الخضراء الذين كان لهم بالغ الأثر في تحقيق أفضل النتائج. ",2023-05-10,1,مراكش- المغرب ,لا يوجد ,https://www.palgbc.org/panel/img/couNews/346448384_202417232653724_747215392978065036_n.jpg
تقديم محاضرة بعنوان انظمة تقييم البناء الأخضر,"ضمن سلسلة لقاءات خضراء ألقت المهندسة ميسون الخريسات -مؤَسِّسة شركة أداء أداء adaa- محاضرة عن انظمة تقييم البناء الأخضر بالتنظيم مع المجلس الفلسطيني للأبنية الخضراء عبر منصة الزووم.
عرفت المهندسة ميسون البناء الأخضر وذكرت خصائصه بشكل عام وتم الحديث عن أهمية مراحل التصميم والتنفيذ والتشغيل، كما نوّهت أنه لا يمكن الحكم على البناء الأخضر من شكله الخارجي فقط، بالإضافة إلى التطرق إلى بعض أنظمة وشهادات البناء الأخضر المعتمدة.<br>
<br>
<a href=""https://youtu.be/s8rYbdr6OZ8 ""> 
لمشاهدة المحاضرة
</a>
",2023-05-22,1,منصة Zoom,https://youtu.be/s8rYbdr6OZ8,https://www.palgbc.org/panel/img/couNews/348618702_785821552887483_6727863420366220691_n.jpg
محاضرة بعنوان Green Cement for Sustainable Building Future,"بمناسبة يوم البيئة العالمي عقد المهندس عمرو نادر محاضرة بعنوان (Green Cement for Sustainable Building Future) ضمن لقاءات خضراء التي ينظمها المجلس الفلسطيني للأبنية الخضراء بشكل مستمر.
تحدث المهندس عمرو نادر عن أهمية الإستدامة وكيفية ان البناء الأخضر يجب أن يكون اخضراً ومستدام من كل النواحي (وليس من الشكل الخارجي فقط) وبناء عليه تم ابتكار وصناعة اسمنت مستدام وصديق للبيئة وقليل الكربون للتوجه نحو مستقبل مستدام، كما وضّح دور هذا الاسمنت في تخفيض إنبعاثات الكربون وذكر الفرق بين الباطون والإسمنت (Concrete Vs Cement)، وتم التطرق إلى بعض من أهداف التنمية المستدامة التي تم تحقيقها في هذا النوع من الإسمنت.<br>
<br>
المحاضرة جديدة وقيّمة جداً وبإمكانكم مشاهدتها كاملة خلال 
<a href=https://youtu.be/zEuBFMG6whk"">اضغط الرابط</a>",2023-06-05,2,منصة Zoom,https://youtu.be/zEuBFMG6whk,https://www.palgbc.org/panel/img/couNews/352277505_272788438451886_2463178796901096046_n (1).jpg
إعلان عن تشكيل مجلس الإدارة الجديد للأعوام 2024 و2025,<p>بكل فخر واعتزاز، يسر المجلس الفلسطيني للأبنية الخضراء أن يعلن عن تشكيل مجلس إدارته الجديد الذي سيقود دفته خلال العامين 2024 و2025. تم تشكيل هذا المجلس نتيجة لانتخابات شارك فيها عدد كبير من أعضاء الهيئة العامة، وقد جرت بروح ديمقراطية وبشفافية عالية. <br>أُجريت الانتخابات في يوم الأحد الثامن عشر من شباط لعام 2024 في مقر المجلس بالبيرة، حيث تم انتخاب السيد سري سعادة رئيساً للمجلس، والسيد ياسر أبو شنب نائباً للرئيس، والسيد محمود التكروري أميناً للصندوق، والسيد نائل أبو سعادة أميناً للسر. وقد ضم المجلس أيضاً كل من الدكتور عفيف عقل، والسيد منصور منصور، والسيدة آلاء فليفل، والآنسة دانا الفار، والمتحف الفلسطيني ممثلاً بالسيد بشار عمّار كأعضاء في المجلس الجديد، مما يعكس التنوع والكفاءة التي نمتلكها. <br>يمثل تشكيل هذا المجلس التزامنا المستمر بالتميز والشفافية والإدارة الفعّالة، ويعد بداية جديدة مليئة بالتحديات والفرص. نحن على ثقة تامة بقدرات الإدارة الجديدة على دفع المجلس نحو مستقبل أفضل. <br>نود أن نشكر جميع الأعضاء الذين شاركوا في هذه الانتخابات ونقدر مشاركتهم الفعالة في تشكيل مستقبل المجلس الفلسطيني للأبنية الخضراء. نتطلع إلى فترة من العمل المثمر والتعاون الفعّال مع الإدارة الجديدة لمواصلة بناء المجلس نحو النجاح والتميز. </p>,2024-02-18,1,البيرة,,https://www.palgbc.org/panel/img/couNews/BOD.jpg
