id,titleAr,titleEn,contentAr,contentEn,newsDate,type,monthAr,monthEn,year,locationAr,locationEn,link,img
29,اتفاقية تفاهم بلدية الخليل,Signing memorandum of understanding MoU with the Municipality of Hebron,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية الخليل  - Hebron Municipality. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد تيسير أبو اسنينة رئيس بلدية الخليل و م. وجدان الشريف المديرة التنفيذية للمجلس بحضور كل من الطاقم الهندسي للبلدية وطاقم المجلس.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Hebron Municipality on October 16th, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Tayseer Abu sneineh ( the Mayor).",2021-10-01,2, تشرين الأول,October ,2021,الخليل - رام الله,Ramallah - Hebron,,https://www.palgbc.org/img/news/news29.jpg
23, توقيع اتفاقية تفاهم مع بلدية خان يونس,Signing an Memorandum of Understanding (MoU) with Khan-Yunis Municipality,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية خانيونس يوم الثلاثاء الموافق 3 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد علاء الدين البطة رئيس بلدية خانيونس بحضور م. حنين داود منسقة المشروع و عماد الأغا مدير العلاقات العامة للبلدية والطاقم الهندسي للبلدية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Khan Yunis Municipality on Tuesday, August 3rd, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Alaa Batta ( the Mayor)  in the presence of Eng. Haneen Dawoud (The project coordinator), Mr. Imad Agha (P.R of municipality) and the engineering department team at the municipality.",2021-08-03,2,آب ,August ,2021,رام الله - خانيونس,Ramallah- Khan Yunis,,https://www.palgbc.org/img/news/news23.jpg
17,عقد دورة تقييم الأثر البيئي ,Environmental Impact Assessment (EIA) training course,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان تقييم الأثر البيئي Environmental Impact Assessment (EIA) بالتعاون مع سلطة جودة البيئة الفلسطينية عقدت يوم الأربعاء الموافق 23 حزيران 2021 بمشاركة عدد من المتدربات/ين من مؤسسات عامة وخاصة وبلديات.
يذكر أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted an Environmental Impact Assessment (EIA) training course in cooperation with Palestinian Environemtnal Quality Authority (EQA) on Wednesday, June 23rd 2021. Participated by trainees from different sectors including public, private and municipalities. 
This training is part of “Somoud” project funded by the Arab fund for economic and social development",2021-06-02,2,حزيران , June ,2021,رام الله,Ramallah ,,https://www.palgbc.org/img/news/news17.jpg
19,عقد دورة تدريبية بعنوان فحص الجهوزية الكهربائية ,Commissioning | Commissioning training course,"للمرة الأولى في فلسطين، عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""فحص الجهوزية الكهربائية للأنظمة والأجهزة الكهربائية - Commissioning""، يدربها طاقم شركة ألبن لاستشارات الاستدامة  والحلول المتكاملة في دولة الإمارات العربية المتحدة.
عقد التدريب على مدار 4 أيام تدريبية عبر المنصة الإلكترونية زوم (ZOOM).
هدف التدريب إلى تأهيل طواقم العمل في قطاع البناء إلى تطوير الخدمات المقدمة من خلال تحسين أداء الأنظمة والأجهزة الكهربائية وتقليل الحاجة لصيانتها.
يأتي هذا التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","For the first time in Palestine, ؛Palestine Green Building Council (PalGBC) conducted a “Commissioning” training course, the training was presented by Alpin company’s team; Alpin for integrated solutions for the built-environment in UAE.
The training included 4 sessions for 4 days in July via Zoom.
The main goal of this training is to build building sector capacities to develop and improve their services through systems and appliances performance development and minimize maintenance services. 
This training is part of “Soumoud” project funded by the Arab Fund for economic and social development.",2021-07-01,2,تموز ,July ,2021,فلسطين - الإمارات العربية المتحدة,Palestine - UAE,,https://www.palgbc.org/img/news/news19.jpg
27,توقيع اتفاقية تفاهم مع مؤسسة المواصفات والمقاييس الفلسطينية,Signing memorandum of understanding MoU with Palestinian Standards Institutions (PSI,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع مؤسسة المواصفات والمقاييس الفلسطينية يوم الثلاثاء الموافق 17 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء. وتعنى الاتفاقية بنشر ثقافة الأبنية الخضراء في المجتمع الفلسطيني، وضبط المعايير الفنية المتبعة في السوق الفلسطيني بما يتوافق مع الأنظمة البيئية والصحية.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد حيدر حجة مدير مؤسسة المواصفات الفلسطينية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Palestinian Standards Institiution (PSI) on Tuesday, August 17th.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to create the culture of green buildings and set local technical standards that cope with environmental and well-being aspects.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Haydar Hijjeh (PSI General Manager).",2021-08-17,2,آب ,August ,2021,رام الله,Ramallah ,,https://www.palgbc.org/img/news/news27.jpg
15,عقد تدريب نمذجة وتحليل أعمال الطاقة ,Energy Modeling |Energy modeling training course,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""نمذجة وتحليل أعمال الطاقة"" موزعة على 5 لقاءات خلال شهر حزيران 2021. تناول التدريب محاور نظرية وعملية حول إدارة الطاقة ومعايير المباني وإعداد تقارير نمذجة الطاقة. شارك في التدريب متدربات/ين متخصصين في مجال الطاقة من مؤسسات عامة وبلديات والقطاع الخاص.
جاء التدريب ضمن مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted an energy modeling training course in 5 days during June 2021. The training agenda included both theoretical explanation of energy management, building standards and energy modeling reporting. Trainees were from different sectors including public, municipalities and private organizations.
The training is part of  the“Somoud” project funded by the Arab fund for economic and social development",2021-06-01,2,حزيران ,June ,2021,رام الله ,Ramallah ,,https://www.palgbc.org/img/news/news15.jpg
26,عقد دورة معايير نظم الإدارة البيئية ISO 14001,ISO 1400: Environmental Management System,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""نظم الإدارة البيئية ISO 14001"" بالتعاون مع مؤسسة المواصفات والمقاييس الفلسطينية م وذلك خلال الأيام 16 و17 آب 2021.
تناول التدريب التعريف بمبادئ نظم الإدارة البيئية، ومتطلباتها حسب نسختها الأخيرة في العام 2015، وكيفية ربطها مع سياق عمل المؤسسة/المصنع/الشركة، بناء السياسات البيئية والتخطيط لها، تطبيقها خلال المرحلة التشغيلية للمؤسسة وتقييم الأداء والتطوير.
يُعقد التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","alestine Green Building Council (PalGBC) conducted ISO 14001 training course in cooperation with Palestinian Standards Institutions (PSI) during August 16th and 17th.
The training agenda included the fundamentals of Environmental Management systems and its requirements based on the 2015 version, how to orient organization’s work to cope with, environmental policy formulation and planning, application during operational phase, performance assessment and development. 
This training is part of the “Somoud” project  funded by the Arab Fund for Economic and Social Development.",2021-08-16,2,آب ,August ,2021,رام الله,Ramallah ,,https://www.palgbc.org/img/news/news266.jpg
21,عقد الدورة التحضيرية للمستوى الثاني من الريادة في تصميمات الطاقة والبيئة: الأبنية قيد الانشاء , LEED BD+C Training Course,عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة للأبنية قيد الإنشاء LEED BD+C بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 8 و 10 و12 آب 2021.,"Palestine Green Building Council (PalGBC) conducted “Leadership in Energy and Environmental Design: Building Design and Construction (LEED BD+C)” training course in cooperation with Qatar Green Building Council (QGBC) via ZOOM during July 8th, 10th and 12th (Three training days).
The training agenda included the explanation of the building greening process during the construction stage, in addition to international exam preparation tips. 
This training is part of “Somoud” project funded by the Arab Fund for Economic and Social Development.",2021-08-12,2,تموز ,July ,2021,فلسطين – قطر,Palestine - Qatar,,https://www.palgbc.org/img/news/news21.jpg
36,اتفاقية تفاهم بلدية عصيرة الشمالية,Signing memorandum of understanding MoU with the Municipality of Asira,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية عصيرة الشمالية. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية م. حازم ياسين رئيس بلدية عصيرة الشمالية و م. وجدان الشريف المديرة التنفيذية للمجلس.

","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Asira Municipality.
This MoU is part of “Somoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Hazem Yaseen (the Mayor).
",2021-10-01,2, تشرين الأول,October ,2021,"عصيرة الشمالية- رام الله 
",Ramallah - Asira ,,https://www.palgbc.org/img/news/news36.jpg
37,اتفاقية تفاهم بلدية رام الله ,Signing memorandum of understanding MoU with the Municipality of Ramallah,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية رام الله. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية م. موسى حديد رئيس بلدية رام الله و د. عفيف عقل رئيس المجلس الفلسطيني للأبنية الخضراء.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Ramallah Municipality.
This MoU is part of “Somoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Dr. Afif Aqel (PalGBC President) and Eng. Musa Hadid  (the Mayor).
",2021-12-06,2, كانون الثاني,December ,2021,رام الله ,Ramallah ,,https://www.palgbc.org/img/news/news37.jpg
